goos: darwin
goarch: arm64
pkg: github.com/kpitt/sudoku/internal/puzzle
cpu: Apple M1
BenchmarkNewSolver/Advanced-8         	  102286	     11636 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Advanced-8         	  103316	     11642 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Advanced-8         	  103251	     11595 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Advanced-8         	  103135	     11592 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Advanced-8         	  102812	     11701 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Advanced-8         	  102252	     11643 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Advanced-8         	  103400	     11630 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103292	     11635 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103300	     11591 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103074	     11620 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103095	     11624 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103099	     11619 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103377	     11609 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103635	     11634 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103129	     11658 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  102916	     11619 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Expert-8           	  103712	     11664 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  103435	     11623 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  102746	     11658 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  103047	     11618 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  102208	     11769 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  102681	     11618 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  103459	     11691 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  103159	     11630 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  102938	     11639 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  103440	     11597 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Pro-8              	  103586	     11616 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103222	     11593 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103354	     11636 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103681	     11592 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103060	     11638 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  102939	     11650 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103110	     11669 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103725	     11589 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103369	     11619 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  103609	     11661 ns/op	   20954 B/op	     454 allocs/op
BenchmarkNewSolver/Impossible-8       	  102792	     11658 ns/op	   20954 B/op	     454 allocs/op
PASS
ok  	github.com/kpitt/sudoku/internal/solver	60.178s
